Date,^JKSE_return
2000-01-05,-0.03211617866687799
2000-01-06,0.015270251551561032
2000-01-11,0.010808144221004845
2000-01-12,-0.008424704709007358
2000-01-13,0.00209293911789743
2000-01-14,-0.001038633723722704
2000-01-17,0.018060112395593464
2000-01-18,-0.025580117599189656
2000-01-19,-0.04431039330161557
2000-01-20,0.02135290759070596
2000-01-21,-0.008179328277842401
2000-01-24,-0.01206596840890839
2000-01-25,-0.01050693726998464
2000-01-26,-0.010010517089011017
2000-01-27,0.0019657705344497955
2000-01-28,-0.015605473451309138
2000-01-31,0.002679699439793737
2000-02-01,-0.031147673992330205
2000-02-02,-0.021763692530794465
2000-02-03,0.017627736689130202
2000-02-04,0.03312214422755044
2000-02-07,0.0022494322419781554
2000-02-08,-0.010310143837366503
2000-02-09,0.004041614101388369
2000-02-10,0.010697563159200563
2000-02-11,-0.006552462039185691
2000-02-14,-0.002148461674207347
2000-02-15,0.005005468553165748
2000-02-16,-0.023822349547609534
2000-02-17,-0.03556285605297127
2000-02-18,-0.0010018999492746872
2000-02-21,-0.011043609579572511
2000-02-22,-0.016266813007592695
2000-02-23,0.001726245006328675
2000-02-24,-0.018898286724223112
2000-02-25,-0.008637226180770341
2000-02-28,0.013950135479468884
2000-03-01,-0.019376737401254118
2000-03-02,-0.03408587039648037
2000-03-03,0.0036982939137093496
2000-03-06,0.03256388476638161
2000-03-07,-0.00699632471840772
2000-03-08,0.012876165069357626
2000-03-09,0.026191891531831324
2000-03-10,0.018626521347599123
2000-03-13,-0.014540420802678256
2000-03-14,-0.00282057703740346
2000-03-15,0.0016166546811815508
2000-03-17,0.006763887794237533
2000-03-20,-0.01016572679936889
2000-03-21,-0.010157745798268891
2000-03-22,0.013552720692310949
2000-03-23,-0.0014630263791044484
2000-03-24,-0.007767189528217422
2000-03-27,0.006452314694294969
2000-03-28,0.005954169931311704
2000-03-29,0.004993222836027655
2000-03-30,-0.014303795948641174
2000-04-03,-0.021444673079587417
2000-04-05,-0.011838909704269263
2000-04-07,0.011688261846026116
2000-04-10,-0.0021009555683448866
2000-04-11,0.0002158864006647221
2000-04-12,-0.008819964089985532
2000-04-13,0.0006549490590419538
2000-04-14,-0.014830482453794147
2000-04-17,-0.050699128092019485
2000-04-18,-0.0018988326445166237
2000-04-19,-0.003715271886616023
2000-04-20,0.00018240461161944665
2000-04-24,0.008423836069575863
2000-04-25,-0.0224908210904724
2000-04-26,0.00965374503884675
2000-04-27,-0.004701189720479171
2000-04-28,0.009762027738692503
2000-05-01,-0.00404813184597419
2000-05-02,0.012587062962978735
2000-05-03,0.007607535138784982
2000-05-04,0.006804657414482662
2000-05-05,0.012251912475485405
2000-05-08,0.008611835981409577
2000-05-09,-0.004839681684606134
2000-05-10,0.0010365672088630262
2000-05-11,-0.035344828802680084
2000-05-12,-0.004401149070865529
2000-05-15,-0.020027413988288778
2000-05-16,-0.036703179968585076
2000-05-17,0.03364100638632195
2000-05-19,-0.010634188450754145
2000-05-22,-0.019099374081978482
2000-05-23,-0.008556446578716681
2000-05-24,-0.0046646530565706
2000-05-25,-0.005126627788825111
2000-05-26,-0.017700723250436923
2000-05-29,-0.0438540294400962
2000-05-30,0.015738468565051456
2000-05-31,-0.031162795981039437
2000-06-02,-0.021984135618109413
2000-06-05,0.021143003123487603
2000-06-06,-0.0026094749160581188
2000-06-07,0.014687473594763745
2000-06-08,0.03999384642518233
2000-06-09,-0.0005877941350114213
2000-06-12,-0.00397295492541172
2000-06-13,-0.016245657357898402
2000-06-14,0.01603561711287682
2000-06-16,0.01685116887347604
2000-06-19,0.013680177919425773
2000-06-20,-0.0011561601752152484
2000-06-21,0.008878677982401051
2000-06-22,0.014688568368276478
2000-06-23,0.0026588268706309037
2000-06-26,0.008628195605131062
2000-06-27,-0.01080487476044123
2000-06-28,0.01594039605399189
2000-06-29,0.00484783786787002
2000-06-30,0.004890509784888586
2000-07-03,-0.02208995340189368
2000-07-04,0.010676072749550514
2000-07-05,0.006267813018770774
2000-07-06,0.0018813333276384014
2000-07-07,-0.010421680574481229
2000-07-10,0.0007082311024193544
2000-07-11,0.008126728339735934
2000-07-12,-0.0031868084565847
2000-07-13,-0.009961666925824453
2000-07-14,-0.00357805074005757
2000-07-17,0.005317938531981703
2000-07-18,0.0004793849083268853
2000-07-19,0.013191511472185447
2000-07-20,-0.0007496507903139715
2000-07-21,-0.008998412233694353
2000-07-24,-0.0036505737706624686
2000-07-25,-0.014430764625713799
2000-07-26,-0.005993772053372481
2000-07-27,0.004996598477006842
2000-07-28,-0.0007515158644464393
2000-07-31,-0.013342302036191356
2000-08-01,-0.005124908043337761
2000-08-02,0.0015508602210614342
2000-08-03,0.003165610845846878
2000-08-04,0.004396893668792146
2000-08-07,-0.007344366492883836
2000-08-08,-0.011201194198430464
2000-08-09,-0.003572756568964053
2000-08-10,0.01084197866118597
2000-08-11,0.03454049083978816
2000-08-14,-0.003414342902558154
2000-08-15,-0.00494802576645359
2000-08-16,-0.010379101335211693
2000-08-18,-0.004466053155670835
2000-08-21,0.006466505723965454
2000-08-22,0.005423583266852994
2000-08-23,0.006571052072388284
2000-08-24,-0.04207912862138574
2000-08-25,0.008775166007782609
2000-08-28,-0.010820178628831556
2000-08-29,-0.022738874928973196
2000-08-30,-0.0037812789271685077
2000-08-31,-0.005732070904068465
2000-09-01,0.00861453905597731
2000-09-04,0.0104486688145764
2000-09-05,0.00642921126715823
2000-09-06,-0.00602958554668831
2000-09-07,-0.006216349800899579
2000-09-08,-0.003548426983016384
2000-09-11,-0.017970116147425053
