Date,IHSG,dow_jones,SnP500,nasdaq,russell,DAX,nikkei,hangseng,Nifty50
2007-09-18,0.007457262332247971,0.024756971851786602,0.02878958164080636,0.02675325698892994,0.038957439261464444,0.01266831726153228,-0.02039707886191877,-0.000914679896638404,0.011403983273828189
2007-09-19,0.03227769968194405,0.005528597805341207,0.00606795976423502,0.005573417405960512,0.013263520040699639,0.02292013580264829,0.03603124824959458,0.03901400225396934,0.04013016636888267
2007-09-20,-0.0037713617579413494,-0.0035428153110146354,-0.0067459384752552864,-0.004582029551666089,-0.009390681472457807,-0.0020341052488817013,0.00196668456853466,0.005716063927764026,0.0032067258542429755
2007-09-21,0.013299838827547816,0.0038779507365660493,0.004598464335745511,0.006358072238101364,0.004128464207432181,0.00764229941033534,-0.0061833281459140466,0.005534932595388398,0.018779699477461165
2007-09-25,-0.009934702065995893,0.0014228360778982818,-0.0003426885186383899,0.005792892935708949,-0.003480843661526123,-0.0023757230433698595,0.005448395744110712,-0.004592128636708992,0.001347354770238951
2007-09-27,0.007518064428024829,0.0025036841814305433,0.0038994820691842236,0.0039049043133001504,0.006025431639346657,0.0063405918290282415,0.02383670236257629,0.023736271414334098,0.012081326673458292
2007-09-28,-0.008283658082101297,-0.0012449794373736722,-0.0030279997338542586,-0.002990190067866827,-0.01057152033678399,0.0009824473321362603,-0.0027682434451445914,0.0028527488709926274,0.004150973974635264
2007-10-03,-0.005433593681288151,-0.00565832306722136,-0.00456224853726539,-0.006456717956157654,-0.007019962616336528,0.0010702701998202002,0.008941736445411408,-0.02585684861177384,0.027599623264780604
2007-10-04,0.008759538768688735,0.0004480484733377921,0.0021087267359831685,0.0015157010841519991,0.0036247244561851133,-0.0012967778237893413,-0.006263825321680017,-0.01858354902725523,-0.0004126710017722246
2007-10-05,0.011028451411625007,0.006540618965320988,0.009514881229474526,0.016957581351663364,0.018793502112721683,0.007172455690755086,-0.0016073280679318458,0.03129645950583715,-0.004386904854019491
2007-10-09,0.009035796046592992,0.008564905454898408,0.008063646659191015,0.0059162993374792805,0.0066197388629358755,0.0007608770633176221,0.005543417902886816,0.01634906652955692,0.046520443368962106
